# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-9.4513,0,9.4513,0,0,0,0,0,0,37.2,-80.6,9.7987,90,0,0,0,2110.5,405,0.6168,0.0079993,NaN,114.33,NaN,0.0065146,233181,0.73317,0,0.67731,0,0.51264,0.044665,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.0029047
2e-3,0,0,-8.7565,0,8.7565,0,0,0,0,0,0,37.2,-80.6,9.7987,90,0,0,0,2110.5,405,0.6168,0.0079993,NaN,114.33,NaN,0.0065194,233353,2.1995,0,0.67722,0,0.51255,0.044665,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.0036884
4e-3,0,0,-8.0618,0,8.0618,0,0,0,0,0,0,37.2,-80.6,9.7987,90,0,0,0,2110.5,405,0.6168,0.0079993,NaN,114.33,NaN,0.0065242,233525,3.6658,0,0.67713,0,0.51246,0.044665,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.010174
6e-3,0,0,2.708,0,2.708,0,0,0,0,0,0,37.2,-80.6,9.7987,90,0,0,0,2110.5,404.99,0.6168,0.0079993,NaN,114.33,NaN,0.006529,233696,26.396,0,0.67705,0,0.51237,0.044665,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.011511
8e-3,5.4162e-6,0.0054162,23.553,0.0054162,23.553,0,0,0,0,0,0,37.2,-80.6,9.7987,89.86,0,0,0,2110.5,404.97,0.6168,0.0079993,NaN,114.33,NaN,0.0065338,233869,70.389,0,0.67696,2.4703e-8,0.51229,0.044665,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.2919e-7,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.012417
0.01,6.3356e-5,0.052524,117.18,0.052524,117.18,0,0,0,0,0,0,37.2,-80.6,9.7987,88.645,0,0,0,2110.5,404.92,0.61679,0.0079993,NaN,114.33,NaN,0.0065404,234105,267.99,3.2063e-7,0.67684,2.2182e-5,0.51217,0.044665,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.1016e-6,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.013476
0.012,4.0279e-4,0.28691,225.19,0.28691,225.19,0,0,0,0,0,0,37.2,-80.6,9.7987,82.645,0,0,0,2110.3,404.76,0.61678,0.0079992,NaN,114.32,NaN,0.0065977,236155,495.9,4.8882e-5,0.6758,0.0033232,0.51113,0.044665,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.333e-5,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.016016
0.014,0.001427,0.73737,256.63,0.73737,256.63,0,0,0,0,0,0,37.2,-80.6,9.7987,71.659,0,0,0,2109.9,404.35,0.61675,0.0079992,NaN,114.32,NaN,0.0068986,246927,562.14,7.218e-4,0.67057,0.044883,0.5059,0.044665,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.5659e-5,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.019277
0.016,0.0034151,1.2507,279.06,1.2507,279.06,0,0,0,0,0,0,37.2,-80.6,9.7987,60.668,0,0,0,2109.4,403.81,0.61672,0.0079991,NaN,114.31,NaN,0.0075167,269049,609.31,0.002973,0.66072,0.15572,0.49604,0.044666,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.453e-4,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.020006
0.018,0.0064749,1.809,297.92,1.809,297.92,0,0,0,0,0,0,37.2,-80.6,9.7987,50.919,0,0,0,2108.7,403.2,0.61668,0.007999,NaN,114.31,NaN,0.0084479,302383,648.9,0.0074594,0.64777,0.30931,0.48309,0.044667,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1015e-4,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.020703
0.02,0.010689,2.405,324.47,2.405,324.47,0,0,0,0,0,0,37.2,-80.6,9.7987,42.827,0,0,0,2108.1,402.55,0.61664,0.0079988,NaN,114.3,NaN,0.0096539,345550,704.69,0.014429,0.63358,0.45817,0.4689,0.044668,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7938e-4,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.021408
0.022,0.016148,3.0541,322.34,3.0541,322.34,0,0,0,0,0,0,37.2,-80.6,9.7987,36.145,0,0,0,2107.4,401.87,0.61659,0.0079987,NaN,114.29,NaN,0.011134,398541,699.98,0.024189,0.6191,0.57741,0.45441,0.04467,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5479e-4,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.022261
# Event LIFTOFF occurred at t=0.024 seconds
0.024,0.022901,3.699,312.94,3.699,312.94,0,0,0,0,0,0,37.2,-80.6,9.7987,31.111,0,0,0,2106.7,401.16,0.61654,0.0079986,NaN,114.29,NaN,0.012719,455272,679.94,0.035731,0.60618,0.65359,0.44149,0.044673,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.297e-4,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.023117
0.026,0.030925,4.325,304.38,4.325,304.38,0,0,0,0,0,0,37.2,-80.6,9.7987,27.318,0,0,0,2106,400.44,0.6165,0.0079985,NaN,114.28,NaN,0.014331,512967,661.71,0.048402,0.59507,0.69742,0.43037,0.044676,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0243e-4,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.024292
0.028,0.040184,4.934,300.97,4.934,300.97,0,0,0,0,0,0,37.2,-80.6,9.7987,24.376,0,0,0,2105.3,399.74,0.61645,0.0079983,NaN,114.27,NaN,0.015947,570809,654.33,0.06192,0.58547,0.72054,0.42076,0.044679,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.7317e-4,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.036336
0.03,0.050654,5.5361,298.42,5.5361,298.42,0,0,0,0,0,0,37.2,-80.6,9.7987,22.005,0,0,0,2104.6,399.07,0.61641,0.0079982,NaN,114.26,NaN,0.017579,629210,648.76,0.076314,0.577,0.73083,0.41228,0.044683,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.4311e-4,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.03699
0.032,0.062323,6.1331,295.86,6.1331,295.86,0,0,0,0,0,0,37.2,-80.6,9.7987,20.055,0,0,0,2103.9,398.4,0.61636,0.0079981,NaN,114.26,NaN,0.019221,687999,643.18,0.091504,0.56946,0.73295,0.40473,0.044687,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.1246e-4,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.037593
0.034,0.075181,6.7249,293.3,6.7249,293.3,0,0,0,0,0,0,37.2,-80.6,9.7987,18.426,0,0,0,2103.3,397.73,0.61632,0.007998,NaN,114.25,NaN,0.020868,746947,637.61,0.10741,0.5627,0.72988,0.39795,0.044692,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.8122e-4,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.038194
0.036,0.089218,7.3117,290.75,7.3117,290.75,0,0,0,0,0,0,37.2,-80.6,9.7987,17.048,0,0,0,2102.6,397.07,0.61627,0.0079978,NaN,114.24,NaN,0.022515,805894,632.07,0.12395,0.55661,0.72359,0.39185,0.044697,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.4938e-4,7.87,48.645,90,0,NaN,13.816,991.89,339.67,2e-3,0.038856
0.038,0.10442,7.8934,288.3,7.8934,288.3,0,0,0,0,0,0,37.2,-80.6,9.7987,15.868,0,0,0,2102,396.41,0.61623,0.0079977,NaN,114.23,NaN,0.024159,864726,626.72,0.14088,0.55109,0.71431,0.38631,0.044702,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.1695e-4,7.87,48.645,90,0,NaN,13.816,991.89,339.67,2e-3,0.03949
0.04,0.12079,8.4701,285.85,8.4701,285.85,0,0,0,0,0,0,37.2,-80.6,9.7987,14.848,0,0,0,2101.3,395.77,0.61619,0.0079976,NaN,114.23,NaN,0.025797,923377,621.41,0.15801,0.54605,0.70265,0.38125,0.044707,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.8395e-4,7.87,48.645,90,0,NaN,13.816,991.89,339.67,2e-3,0.04117
0.042,0.1383,9.0419,283.4,9.0419,283.4,0,0,0,0,0,0,37.2,-80.6,9.7987,13.956,0,0,0,2100.7,395.14,0.61615,0.0079975,NaN,114.22,NaN,0.027429,981785,616.09,0.17544,0.54143,0.6901,0.37662,0.044713,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010504,7.87,48.645,90,0,NaN,13.816,991.89,339.67,2e-3,0.042096
0.044,0.15695,9.6089,280.95,9.6089,280.95,0,0,0,0,0,0,37.2,-80.6,9.7987,13.171,0,0,0,2100.1,394.51,0.6161,0.0079974,NaN,114.21,NaN,0.029053,1039900,610.77,0.19323,0.53717,0.67749,0.37234,0.04472,0.12011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011162,7.87,48.645,90,0,NaN,13.816,991.89,339.67,2e-3,0.04298
0.046,0.17673,10.171,278.49,10.171,278.49,0,0,0,0,0,0,37.2,-80.6,9.7987,12.476,0,0,0,2099.4,393.88,0.61606,0.0079973,NaN,114.21,NaN,0.030667,1097685,605.46,0.21142,0.53324,0.66525,0.36839,0.044726,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011815,7.87,48.645,90,0,NaN,13.816,991.88,339.67,2e-3,0.04363
0.048,0.19763,10.728,276.04,10.728,276.04,0,0,0,0,0,0,37.2,-80.6,9.7987,11.855,0,0,0,2098.8,393.25,0.61602,0.0079972,NaN,114.2,NaN,0.032272,1155109,600.14,0.23002,0.52959,0.65362,0.36473,0.044733,0.12014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012463,7.87,48.645,90,0,NaN,13.816,991.88,339.67,2e-3,0.044291
0.05,0.21964,11.28,273.58,11.28,273.58,0,0,0,0,0,0,37.2,-80.6,9.7987,11.298,0,0,0,2098.2,392.62,0.61598,0.007997,NaN,114.19,NaN,0.033866,1212148,594.83,0.24906,0.5262,0.64269,0.36131,0.04474,0.12015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013104,7.87,48.645,90,0,NaN,13.816,991.88,339.67,2e-3,0.044901
0.052,0.24274,11.828,271.27,11.828,271.27,0,0,0,0,0,0,37.2,-80.6,9.7987,10.795,0,0,0,2097.5,391.99,0.61594,0.0079969,NaN,114.19,NaN,0.035448,1268780,589.81,0.26879,0.5235,0.63305,0.35859,0.044748,0.12016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001374,7.87,48.645,90,0,NaN,13.815,991.88,339.67,2e-3,0.045498
0.054,0.26694,12.37,269.8,12.37,269.8,0,0,0,0,0,0,37.2,-80.6,9.7987,10.338,0,0,0,2096.9,391.37,0.61589,0.0079968,NaN,114.18,NaN,0.037019,1325020,586.58,0.2904,0.52352,0.62713,0.35859,0.044756,0.12018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001437,7.87,48.645,90,0,NaN,13.815,991.87,339.67,2e-3,0.046279
0.056,0.29222,12.91,268.47,12.91,268.47,0,0,0,0,0,0,37.2,-80.6,9.7987,9.9213,0,0,0,2096.3,390.76,0.61585,0.0079967,NaN,114.17,NaN,0.038584,1381032,583.65,0.31268,0.52354,0.62158,0.35858,0.044764,0.12019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014997,7.87,48.645,90,0,NaN,13.815,991.87,339.67,2e-3,0.047028
0.058,0.31858,13.447,267.14,13.447,267.14,0,0,0,0,0,0,37.2,-80.6,9.7987,9.5387,0,0,0,2095.7,390.17,0.61581,0.0079966,NaN,114.17,NaN,0.040143,1436835,580.71,0.33565,0.52356,0.61642,0.35858,0.044772,0.12021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0015621,7.87,48.645,90,0,NaN,13.815,991.87,339.67,2e-3,0.047618
0.06,0.34601,13.981,265.8,13.981,265.8,0,0,0,0,0,0,37.2,-80.6,9.7987,9.1864,0,0,0,2095.1,389.57,0.61577,0.0079965,NaN,114.16,NaN,0.041696,1492419,577.78,0.3593,0.52358,0.61161,0.35857,0.044781,0.12023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0016242,7.87,48.645,90,0,NaN,13.815,991.86,339.67,2e-3,0.048215
0.062,0.3745,14.513,264.47,14.513,264.47,0,0,0,0,0,0,37.2,-80.6,9.7987,8.8611,0,0,0,2094.5,388.97,0.61573,0.0079964,NaN,114.15,NaN,0.043243,1547778,574.85,0.38363,0.5236,0.60714,0.35857,0.04479,0.12024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001686,7.87,48.645,90,0,NaN,13.815,991.86,339.67,2e-3,0.048801
0.064,0.40406,15.042,263.14,15.042,263.14,0,0,0,0,0,0,37.2,-80.6,9.7987,8.5597,0,0,0,2093.9,388.38,0.6157,0.0079963,NaN,114.15,NaN,0.044783,1602905,571.91,0.40863,0.52362,0.60299,0.35856,0.0448,0.12026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017474,7.87,48.645,90,0,NaN,13.814,991.86,339.67,2e-3,0.049409
0.066,0.43467,15.569,261.8,15.569,261.8,0,0,0,0,0,0,37.2,-80.6,9.7987,8.2798,0,0,0,2093.3,387.78,0.61566,0.0079962,NaN,114.14,NaN,0.046317,1657794,568.98,0.4343,0.52365,0.59914,0.35856,0.044809,0.12028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0018086,7.87,48.645,90,0,NaN,13.814,991.85,339.67,2e-3,0.049987
0.068,0.46633,16.092,260.59,16.092,260.59,0,0,0,0,0,0,37.2,-80.6,9.7987,8.0191,0,0,0,2092.7,387.18,0.61562,0.0079961,NaN,114.13,NaN,0.047844,1712442,566.31,0.46064,0.52367,0.59556,0.35855,0.044819,0.1203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0018694,7.87,48.645,90,0,NaN,13.814,991.85,339.67,2e-3,0.050636
0.07,0.49903,16.614,260.14,16.614,260.14,0,0,0,0,0,0,37.2,-80.6,9.7987,7.7757,0,0,0,2092.1,386.59,0.61558,0.007996,NaN,114.13,NaN,0.049365,1766869,565.24,0.48765,0.52369,0.59223,0.35855,0.044829,0.12032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00193,7.87,48.645,90,0,NaN,13.814,991.85,339.67,2e-3,0.051273
0.072,0.53278,17.134,259.82,17.134,259.82,0,0,0,0,0,0,37.2,-80.6,9.7987,7.5473,0,0,0,2091.6,386.01,0.61554,0.0079958,NaN,114.12,NaN,0.050884,1821231,564.43,0.5154,0.52372,0.58912,0.35854,0.04484,0.12034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0019904,7.87,48.645,90,0,NaN,13.814,991.84,339.67,2e-3,0.051914
0.074,0.56757,17.654,259.49,17.654,259.49,0,0,0,0,0,0,37.2,-80.6,9.7987,7.3323,0,0,0,2091,385.43,0.6155,0.0079957,NaN,114.11,NaN,0.052402,1875553,563.62,0.54391,0.52374,0.58622,0.35854,0.04485,0.12036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0020508,7.87,48.645,90,0,NaN,13.813,991.84,339.67,2e-3,0.052506
0.076,0.60339,18.173,259.16,18.173,259.16,0,0,0,0,0,0,37.2,-80.6,9.7987,7.1297,0,0,0,2090.4,384.85,0.61546,0.0079956,NaN,114.11,NaN,0.053918,1929831,562.81,0.57318,0.52377,0.5835,0.35853,0.044862,0.12038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0021111,7.87,48.645,90,0,NaN,13.813,991.83,339.67,2e-3,0.053069
0.078,0.64026,18.691,258.84,18.691,258.84,0,0,0,0,0,0,37.2,-80.6,9.7987,6.9385,0,0,0,2089.8,384.28,0.61542,0.0079955,NaN,114.1,NaN,0.055434,1984062,562,0.6032,0.5238,0.58096,0.35853,0.044873,0.1204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0021713,7.87,48.645,90,0,NaN,13.813,991.83,339.67,2e-3,0.053665
0.08,0.67816,19.209,258.51,19.209,258.51,0,0,0,0,0,0,37.2,-80.6,9.7987,6.7576,0,0,0,2089.2,383.7,0.61538,0.0079954,NaN,114.1,NaN,0.056948,2038246,561.19,0.63399,0.52383,0.57858,0.35852,0.044885,0.12042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0022315,7.87,48.645,90,0,NaN,13.813,991.82,339.67,2e-3,0.054255
0.082,0.71709,19.726,258.18,19.726,258.18,0,0,0,0,0,0,37.2,-80.6,9.7987,6.5863,0,0,0,2088.7,383.12,0.61534,0.0079953,NaN,114.09,NaN,0.05846,2092379,560.38,0.66554,0.52385,0.57634,0.35851,0.044897,0.12044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0022915,7.87,48.645,90,0,NaN,13.812,991.82,339.67,2e-3,0.054787
0.084,0.75706,20.243,257.85,20.243,257.85,0,0,0,0,0,0,37.2,-80.6,9.7987,6.4239,0,0,0,2088.1,382.54,0.6153,0.0079952,NaN,114.08,NaN,0.059972,2146462,559.58,0.69784,0.52388,0.57425,0.35851,0.044909,0.12047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0023515,7.87,48.645,90,0,NaN,13.812,991.82,339.67,2e-3,0.055314
0.086,0.79806,20.758,257.52,20.758,257.52,0,0,0,0,0,0,37.2,-80.6,9.7987,6.2697,0,0,0,2087.5,381.96,0.61527,0.0079951,NaN,114.08,NaN,0.061481,2200491,558.77,0.7309,0.52391,0.57228,0.3585,0.044922,0.12049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0024115,7.87,48.645,90,0,NaN,13.812,991.81,339.67,2e-3,0.055862
0.088,0.8401,21.274,257.19,21.274,257.19,0,0,0,0,0,0,37.2,-80.6,9.7987,6.123,0,0,0,2086.9,381.39,0.61523,0.007995,NaN,114.07,NaN,0.06299,2254465,557.96,0.76472,0.52394,0.57043,0.35849,0.044935,0.12052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0024713,7.87,48.645,90,0,NaN,13.812,991.81,339.67,2e-3,0.056477
0.09,0.88316,21.788,256.86,21.788,256.86,0,0,0,0,0,0,37.2,-80.6,9.7987,5.9834,0,0,0,2086.4,380.81,0.61519,0.0079949,NaN,114.06,NaN,0.064496,2308385,557.15,0.79929,0.52397,0.56869,0.35849,0.044948,0.12054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0025311,7.87,48.645,90,0,NaN,13.811,991.8,339.67,2e-3,0.057156
0.092,0.92725,22.302,256.53,22.302,256.53,0,0,0,0,0,0,37.2,-80.6,9.7987,5.8503,0,0,0,2085.8,380.23,0.61515,0.0079948,NaN,114.06,NaN,0.066002,2362247,556.34,0.83461,0.52401,0.56705,0.35848,0.044961,0.12057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0025908,7.87,48.645,90,0,NaN,13.811,991.8,339.67,2e-3,0.057758
0.094,0.97236,22.815,256.2,22.815,256.2,0,0,0,0,0,0,37.2,-80.6,9.7987,5.7234,0,0,0,2085.2,379.65,0.61511,0.0079947,NaN,114.05,NaN,0.067505,2416051,555.53,0.87068,0.52404,0.5655,0.35847,0.044975,0.12059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0026504,7.87,48.645,90,0,NaN,13.811,991.79,339.67,2e-3,0.058466
# Event LAUNCHROD occurred at t=0.096 seconds
0.096,1.0185,23.328,255.87,23.328,255.87,0,0,0,0,0,0.93263,37.2,-80.6,9.7987,5.6021,0,0,0,2084.6,379.07,0.61507,0.0079946,113.6,114.04,-0.056342,0.069007,2469797,554.58,0.90751,0.52407,0.56404,0.35846,0.044989,0.12062,1.2048,-0.067949,-1.9026e-4,0,0,0,0,0,0.0027099,7.87,48.645,90,0,NaN,13.81,991.78,339.67,3e-3,0.059152
0.099,1.0896,24.095,255.69,24.095,255.69,-4.2339e-6,0,4.2339e-6,-180,0.0028348,0.957,37.2,-80.6,9.7987,5.4233,0,-0.0018745,-5.8174e-6,2083.9,378.35,0.61502,0.0079945,113.79,114.04,-0.031496,0.071257,2550287,554.19,0.96399,0.52412,0.56192,0.35845,0.045011,0.12066,1.1591,-0.036841,-4.2042e-4,0,0,0,0,0,0.0027991,7.87,48.645,90,0,NaN,13.81,991.78,339.67,0.0045,0.059868
0.1035,1.2007,25.246,255.69,25.246,255.69,-2.6794e-5,0,2.6794e-5,-180,0.0072156,0.98875,37.2,-80.6,9.7987,5.1546,0,-0.0026814,-8.7761e-6,2082.8,377.28,0.61495,0.0079943,114.08,114.02,0.0064634,0.074628,2670926,553.97,1.0515,0.5242,0.55881,0.35844,0.045045,0.12072,1.0912,0.006771,-4.9069e-4,0,0,0,0,0,0.0029328,7.87,48.645,90,0,NaN,13.809,991.76,339.67,0.00675,0.060464
0.11025,1.3769,26.973,255.67,26.973,255.68,-9.8372e-5,0,9.8372e-5,-180,0.014043,1.0336,37.2,-80.6,9.7987,4.7853,0,9.1398e-4,1.4585e-5,2081.2,375.67,0.61484,0.007994,114.48,114.01,0.060082,0.079688,2851964,553.63,1.1901,0.52433,0.55471,0.35841,0.045099,0.12083,0.99966,0.06054,2.7032e-4,0,0,0,0,0,0.0031334,7.87,48.645,90,0,NaN,13.808,991.74,339.67,0.01,0.061012
0.12025,1.6594,29.531,255.65,29.531,255.65,-2.916e-4,0,2.916e-4,-180,0.024709,1.098,37.2,-80.6,9.7987,4.3157,0,0.016754,2.8407e-5,2078.8,373.28,0.61468,0.0079936,115.01,113.98,0.13098,0.08719,3120383,553.24,1.4121,0.52454,0.54981,0.35836,0.045185,0.12099,0.88627,0.11591,3.4073e-4,0,0,0,0,1.314e-7,0.0034306,7.87,48.645,90,-0.12952,NaN,13.806,991.71,339.67,0.01,0.061543
0.13025,1.9675,32.09,255.64,32.09,255.65,-5.9465e-4,0,5.9465e-4,-180,0.036004,1.1594,37.2,-80.6,9.7987,3.9192,0,0.04501,4.4358e-7,2076,370.42,0.61449,0.007993,115.48,113.95,0.19409,0.094698,3389005,552.71,1.6542,0.52476,0.546,0.35831,0.04528,0.12117,0.79311,0.1538,1.2778e-4,0,0,0,0,8.0396e-7,0.0037279,7.87,48.645,90,-0.047389,NaN,13.804,991.67,339.66,0.01,0.062082
0.14025,2.3012,34.649,255.27,34.649,255.28,-0.0010137,0,0.0010137,-180,0.047894,1.2169,37.2,-80.6,9.7987,3.5796,0,0.085554,-2.3304e-5,2073.1,367.57,0.6143,0.0079925,115.89,113.92,0.25031,0.10221,3657729,551.44,1.9164,0.525,0.54301,0.35826,0.045382,0.12136,0.71521,0.17928,-1.93e-4,0,0,0,0,2.4935e-6,0.0040251,7.87,48.645,89.999,-0.0067015,NaN,13.802,991.63,339.66,0.01,0.062604
0.15025,2.6605,37.204,254.84,37.204,254.84,-0.0015544,0,0.0015544,-180,0.060336,1.2696,37.2,-80.6,9.7987,3.2856,0,0.1382,-5.8556e-5,2070.3,364.73,0.6141,0.007992,116.25,113.88,0.30079,0.10971,3926142,550.07,2.1984,0.52526,0.54064,0.3582,0.045493,0.12156,0.64919,0.19494,-2.1155e-4,0,0,0,0,5.6467e-6,0.004322,7.87,48.645,89.998,0.0068426,NaN,13.8,991.59,339.66,0.01,0.063139
0.16025,3.0453,39.755,254.42,39.755,254.42,-0.0022221,0,0.0022221,-180,0.073292,1.3195,37.2,-80.6,9.7987,3.0336,0,0.20253,-4.1384e-5,2067.4,361.89,0.61391,0.0079915,116.57,113.85,0.34562,0.11721,4194176,548.74,2.5003,0.52554,0.53881,0.35814,0.045611,0.12179,0.59366,0.20543,-2.9936e-5,0,0,0,0,1.0626e-5,0.0046183,7.87,48.645,89.996,0.0084362,NaN,13.797,991.55,339.66,0.01,0.063666
0.17025,3.4556,42.301,254.33,42.302,254.33,-0.0030218,-6.8894e-9,0.0030218,-180,0.086717,1.3634,37.2,-80.6,9.7987,2.8106,0,0.27842,4.1923e-5,2064.6,359.05,0.61372,0.007991,116.86,113.82,0.38656,0.12469,4461803,548.14,2.822,0.52584,0.53735,0.35808,0.045737,0.12202,0.54533,0.21064,1.8837e-4,0,0,0,0,1.7744e-5,0.0049141,7.87,48.645,89.994,0.0054637,NaN,13.795,991.5,339.66,0.01,0.064194
0.18025,3.8913,44.847,254.35,44.847,254.35,-0.0039578,-9.4842e-9,0.0039578,-180,0.10055,1.4007,37.2,-80.6,9.7987,2.6113,0,0.3657,3.5265e-5,2061.8,356.22,0.61352,0.0079905,117.13,113.79,0.42424,0.13217,4729366,547.76,3.1638,0.52615,0.53618,0.35801,0.045871,0.12227,0.50277,0.2137,-4.733e-4,0,0,0,0,2.7245e-5,0.0052098,7.87,48.645,89.991,0.0024951,NaN,13.792,991.45,339.66,0.01,0.064721
0.19025,4.3525,47.393,254.35,47.393,254.35,-0.0050339,-1.279e-8,0.0050339,-180,0.11472,1.4305,37.2,-80.6,9.7987,2.4317,0,0.46395,-3.1736e-6,2058.9,353.39,0.61333,0.00799,117.37,113.76,0.45918,0.13966,4996958,547.39,3.526,0.52648,0.53525,0.35794,0.046013,0.12254,0.46494,0.21362,3.9099e-4,0,0,0,0,3.9276e-5,0.0055055,7.87,48.645,89.986,5.1877e-5,NaN,13.789,991.39,339.65,0.01,0.065271
